,Sex_x,Sex_y,ID_x,ID_y
0,male,male,59,48
1,male,male,1,48
2,male,male,33,48
3,male,male,52,48
4,male,male,49,48
5,male,male,77,48
6,male,male,15,48
7,female,male,60,48
8,male,male,18,48
9,male,male,59,8
10,female,male,44,8
11,male,male,71,8
12,male,male,77,8
13,male,male,55,8
14,male,male,31,8
15,male,male,79,8
16,female,male,34,8
17,female,male,60,8
18,female,male,83,8
19,female,male,32,8
20,male,male,59,52
21,male,male,48,52
22,male,male,71,52
23,male,female,59,60
24,male,female,48,60
25,female,female,44,60
26,male,female,71,60
27,male,female,8,60
28,male,female,77,60
29,female,female,46,60
30,male,female,31,60
31,male,female,79,60
32,female,female,82,60
33,female,female,70,60
34,male,female,57,60
35,female,female,32,60
36,male,female,59,32
37,male,female,71,32
38,male,female,8,32
39,male,female,55,32
40,male,female,31,32
41,male,female,79,32
42,female,female,34,32
43,female,female,60,32
44,female,female,83,32
45,female,male,45,65
46,male,male,9,65
47,male,male,63,65
48,male,male,67,65
49,male,male,38,65
50,male,male,28,65
51,male,male,28,65
52,female,male,45,0
53,male,male,67,0
54,male,male,72,0
55,female,male,45,9
56,male,male,65,9
57,male,male,47,9
58,male,male,63,9
59,male,male,67,9
60,male,male,67,9
61,male,male,72,9
62,female,male,5,9
63,female,male,29,9
64,female,male,29,9
65,male,male,43,9
66,male,male,50,9
67,female,male,45,67
68,male,male,64,67
69,male,male,65,67
70,male,male,0,67
71,female,male,44,67
72,male,male,9,67
73,male,male,72,67
74,female,male,5,67
75,male,male,55,67
76,female,male,29,67
77,male,male,53,67
78,female,male,26,67
79,male,male,43,67
80,female,male,41,67
81,male,male,73,67
82,male,male,14,67
83,male,male,28,67
84,female,male,45,2
85,male,male,71,2
86,female,male,58,2
87,female,male,82,2
88,male,male,24,2
89,male,male,57,2
90,male,male,40,2
91,female,female,45,29
92,male,female,9,29
93,male,female,67,29
94,male,female,6,29
95,male,female,55,29
96,male,female,51,29
97,male,female,10,29
98,male,female,43,29
99,female,female,41,29
100,male,female,73,29
101,male,female,12,29
102,male,female,22,29
103,female,male,45,10
104,male,male,37,10
105,male,male,55,10
106,female,male,29,10
107,male,male,43,10
108,female,male,75,10
109,female,male,45,50
110,male,male,71,50
111,male,male,9,50
112,female,male,5,50
113,female,male,83,50
114,male,male,22,50
115,female,female,45,75
116,male,female,53,75
117,male,female,10,75
118,male,female,43,75
119,male,female,78,75
120,male,female,35,75
121,female,male,45,14
122,male,male,64,66
123,male,male,69,66
124,female,male,68,66
125,female,male,83,66
126,male,male,36,66
127,male,male,64,4
128,male,male,6,4
129,male,male,55,4
130,male,male,64,73
131,male,male,67,73
132,male,male,74,73
133,male,male,78,73
134,female,male,83,73
135,male,male,12,73
136,male,male,22,73
137,female,male,56,73
138,male,male,48,59
139,male,male,8,59
140,male,male,52,59
141,female,male,60,59
142,female,male,32,59
143,male,male,48,33
144,male,male,15,33
145,male,male,18,33
146,male,male,48,49
147,female,male,5,49
148,male,male,48,77
149,male,male,8,77
150,female,male,46,77
151,male,male,31,77
152,female,male,82,77
153,female,male,60,77
154,male,male,28,77
155,male,male,48,15
156,male,male,33,15
157,male,male,18,15
158,male,male,48,18
159,female,male,54,18
160,male,male,33,18
161,male,male,15,18
162,male,male,66,64
163,male,male,67,64
164,male,male,4,64
165,male,male,73,64
166,male,male,66,69
167,female,male,68,69
168,female,male,83,69
169,male,female,66,83
170,male,female,8,83
171,male,female,42,83
172,male,female,50,83
173,male,female,22,83
174,female,female,32,83
175,male,female,65,45
176,male,female,0,45
177,male,female,9,45
178,male,female,67,45
179,male,female,72,45
180,male,female,2,45
181,female,female,29,45
182,male,female,10,45
183,male,female,50,45
184,female,female,75,45
185,male,female,14,45
186,male,female,28,45
187,male,male,65,38
188,male,male,0,72
189,male,male,9,72
190,male,male,22,72
191,female,male,44,1
192,male,male,71,1
193,male,male,52,1
194,female,male,83,1
195,female,female,44,26
196,female,female,41,26
197,male,female,27,26
198,male,female,78,26
199,male,female,3,26
200,female,female,44,41
201,male,female,67,41
202,female,female,29,41
203,female,female,26,41
204,female,male,44,74
205,male,male,78,74
206,male,male,12,74
207,male,male,3,74
208,male,female,71,58
209,male,female,2,58
210,female,female,70,58
211,male,female,57,58
212,male,female,71,34
213,male,female,8,34
214,female,female,32,34
215,male,male,71,24
216,male,male,79,24
217,male,male,2,24
218,male,male,19,24
219,male,male,71,76
220,male,male,13,76
221,female,male,82,76
222,female,male,70,76
223,male,male,57,76
224,female,male,56,76
225,male,male,71,40
226,female,male,58,40
227,male,male,2,40
228,male,male,69,20
229,male,male,16,20
230,male,male,43,20
231,male,male,36,20
232,male,female,9,5
233,male,female,67,5
234,male,female,49,5
235,male,female,50,5
236,male,male,9,43
237,male,male,6,43
238,male,male,37,43
239,male,male,16,43
240,female,male,29,43
241,male,male,53,43
242,male,male,10,43
243,male,male,78,43
244,female,male,75,43
245,male,male,19,43
246,male,female,8,44
247,male,female,67,44
248,male,female,1,44
249,female,female,26,44
250,female,female,41,44
251,female,female,41,44
252,female,female,60,44
253,male,female,74,44
254,male,female,22,44
255,male,male,8,71
256,female,male,68,71
257,male,male,1,71
258,female,male,58,71
259,male,male,2,71
260,female,male,34,71
261,male,male,50,71
262,female,male,60,71
263,female,male,70,71
264,male,male,24,71
265,male,male,57,71
266,female,male,32,71
267,male,male,76,71
268,male,male,40,71
269,male,male,8,55
270,male,male,67,55
271,male,male,77,55
272,male,male,6,55
273,male,male,37,55
274,male,male,31,55
275,female,male,29,55
276,male,male,53,55
277,male,male,4,55
278,male,male,10,55
279,female,male,32,55
280,male,male,21,55
281,male,male,8,31
282,male,male,77,31
283,male,male,55,31
284,female,male,60,31
285,female,male,32,31
286,male,male,8,79
287,female,male,46,79
288,female,male,82,79
289,female,male,60,79
290,male,male,24,79
291,female,male,32,79
292,male,male,67,53
293,male,male,6,53
294,male,male,37,53
295,male,male,55,53
296,male,male,43,53
297,male,male,78,53
298,female,male,75,53
299,male,male,21,53
300,male,male,7,81
301,male,male,80,81
302,male,female,13,70
303,male,female,13,56
304,female,female,70,56
305,male,female,73,56
306,male,female,76,56
307,male,female,19,56
308,male,male,13,19
309,male,male,43,19
310,female,male,70,19
311,male,male,24,19
312,female,male,56,19
313,male,male,72,22
314,female,male,29,22
315,male,male,50,22
316,male,male,73,22
317,female,male,83,22
318,male,female,77,46
319,male,female,79,46
320,female,female,82,46
321,female,female,60,46
322,male,female,77,82
323,female,female,46,82
324,male,female,79,82
325,male,female,2,82
326,female,female,60,82
327,male,female,76,82
328,male,male,39,6
329,male,male,37,6
330,male,male,55,6
331,male,male,16,6
332,female,male,29,6
333,male,male,53,6
334,male,male,4,6
335,male,male,43,6
336,female,male,75,6
337,male,male,25,6
338,male,male,6,39
339,male,male,6,37
340,male,male,55,37
341,male,male,16,37
342,male,male,53,37
343,male,male,10,37
344,male,male,43,37
345,male,male,21,37
346,male,male,25,37
347,male,male,6,16
348,male,male,37,16
349,male,male,20,16
350,male,male,43,16
351,male,male,25,16
352,male,male,6,25
353,male,male,37,25
354,male,male,16,25
355,male,male,37,21
356,male,male,55,21
357,male,male,53,21
358,male,male,17,35
359,female,male,75,35
360,male,male,23,62
361,female,male,11,62
362,male,female,23,11
363,male,female,62,11
364,female,male,29,12
365,male,male,74,12
366,male,male,78,12
367,male,male,73,12
368,female,male,26,27
369,male,male,78,27
370,male,male,3,27
371,female,male,26,78
372,male,male,43,78
373,male,male,27,78
374,male,male,74,78
375,female,male,75,78
376,male,male,12,78
377,male,male,3,78
378,female,male,26,3
379,male,male,27,3
380,male,male,74,3
381,male,male,78,3
382,female,male,70,13
383,male,male,76,13
384,female,male,56,13
385,male,male,19,13
386,female,male,83,42
387,male,female,18,54
388,male,male,62,23
389,female,male,11,23
390,male,male,35,17
391,male,male,81,7
392,male,male,81,80
